#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
50,Corazón Serrano @UCF-1xB_VwVjN4lUPsh8PryQ,1.5M,0.5%,Peru,,450K,Corazón Serrano,3020000,4009938138,425
51,Heyisalike @lexisabel,1.5M,0.3%,Peru,,450K,Ezra Howard,1450000,150130741,187
52,EzraHoward @UCrydzgkJebdfqc0Fvwf4Dcg,1.5M,-,Peru,,441K,Darek,3600000,1216225759,4089
53,Darek @UCJL-S1GilHUxY_6XWc8ei7w,1.4M,0.1%,Peru,,429K,Megabuster,1530000,197407757,397
54,Megabuster @UCxuyAkyOyPc1joeeW7XLLJQ,1.4M,-,Peru,,429K,PatitoBlox20🐰,11300000,3114,0
55,Peluche19 FF @UCtO0r58CfwvtxnWPst2he3g,1.4M,0.9%,Peru,,429K,JC Gigamisterios,1490000,68000538,309
56,JC Gigamisterios @UCQ3zNtUFa8nSG1Tncsr-cWQ,1.4M,-,Peru,,408K,Bunny TV,1490000,335140,59
57,Bunny TV @UCObyQHIer1g1pzQVANUPw3A,1.4M,1.2%,Peru,,405K,DarthLogan,1320000,80335842,71
58,DarthLogan @UCKvftpJ9gFbdJwrNi7syBSA,1.3M,-,Peru,,402K,SoyTomas,1310000,106480023,189
59,SoyTomas @UCyBMvhPlYtRoDqU1e0MLXlw,1.3M,-,Peru,,402K,Ahora te cuento,3650000,969825890,530
60,Ahora te cuento @UCaYGWwdIj4xuDIW5vOzr8Nw,1.3M,3.5%,Peru,,399K,El Tío Tech,1970000,476453394,2055
61,El Tío Tech @UC1DggK5BjCUPWNgZRy0esRQ,1.3M,-,Peru,,399K,Latina Noticias,2860000,1877188527,70336
62,Latina Noticias @UCpSJ5fGhmAME9Kx2D3ZvN3Q,1.3M,-,Peru,,396K,Leidhmat,2620000,42618367,4790
63,Leidhmat @UCcbC2tHyWQ-0X2fSTILlIaw,1.3M,-,Peru,,396K,josi,1220000,26417329,25
64,josi @UCqiRylQrdAIvGbyt5KPcfEg,1.3M,11.3%,Peru,,390K,América Noticias,2060000,951209170,30749
65,América Noticias @UCPhm2I2wk4vqjENwhn3px8A,1.3M,-,Peru,,387K,Rongel Nakem,1410000,40756828,121
66,Rongel Nakem @UCsDN1kifkledAQ8inUCVGgg,1.3M,-,Peru,,387K,Cantale,1580000,799391543,361
